name,color,form,start,end
Activity: 1,Red,flag,7.430769230769231 T,7.661538461538461 T
Activity: 2,Red,flag,4.123076923076923 T,4.4 T
Activity: 3,Red,Rectangle,-0.0461538461538461 T,0.4461538461538461 T
Activity: 4,Red,Rectangle,0.41538461538461546 T,2.3846153846153846 T
Activity: 5,Red,Rectangle,1.3846153846153846 T,2.3846153846153846 T
Activity: 6,Red,Rectangle,3.276923076923077 T,4.2615384615384615 T
Activity: 7,Red,Rectangle,2.9692307692307693 T,3.953846153846154 T
Activity: 8,Red,Rectangle,1.2153846153846155 T,4.184615384615385 T
Activity: 9,Red,Rectangle,4.292307692307692 T,5.769230769230769 T
Activity: 10,Red,Losange,8.876923076923077 T,9.2 T
Activity: 11,Red,Rectangle,5.415384615384616 T,7.876923076923077 T
Activity: 12,Red,Rectangle,9.046153846153846 T,10.03076923076923 T
Activity: 13,Red,Rectangle,10.092307692307692 T,12.107692307692307 T
Activity: 1,green,Rectangle,9.8 T,10.276923076923078 T
Activity: 2,green,Losange,1.6615384615384614 T,1.9692307692307693 T
Activity: 3,green,flag,10.0 T,10.261538461538462 T
Activity: 4,green,Rectangle,0.2615384615384615 T,4.2153846153846155 T
Activity: 5,green,Rectangle,2.5076923076923077 T,2.9846153846153847 T
Activity: 6,green,Rectangle,4.292307692307692 T,6.2615384615384615 T
Activity: 7,green,Rectangle,5.6923076923076925 T,6.661538461538462 T
Activity: 8,green,Rectangle,5.661538461538462 T,6.630769230769231 T
Activity: 9,green,Rectangle,6.553846153846154 T,7.030769230769231 T
Activity: 10,green,Rectangle,7.0 T,8.492307692307692 T
Activity: 11,green,Rectangle,8.061538461538461 T,9.061538461538461 T
Activity: 12,green,Rectangle,8.046153846153846 T,8.553846153846154 T
